QALD2_te-87	composed the music for Harold and Maude
QALD2_te-8	To countries does the Himalayan mountain system extend
QALD2_te-86	is the largest city in Australia
QALD2_te-89	In city was the former Dutch queen Juliana buried
QALD2_te-88	films starring Clint Eastwood did he direct himself
QALD2_tr-72	languages are spoken in Estonia
QALD2_tr-79	airports are located in California USA
QALD2_te-42	is the husband of Amanda Palmer
QALD2_tr-4	river does the Brooklyn Bridge cross
QALD2_te-15	is the longest river
QALD2_te-5	is the second highest mountain on Earth
QALD2_te-44	cities does the Weser flow through
QALD2_te-59	US states are in the same timezone as Utah
QALD2_tr-59	all people with first name Jimmy
QALD2_tr-68	actors were born in Germany
QALD2_te-55	Greek goddesses dwelt on Mount Olympus
QALD2_tr-53	all presidents of the United States
QALD2_te-51	all Frisian islands that belong to the Netherlands
QALD2_tr-31	is the currency of the Czech Republic
QALD2_tr-17	all cities in New Jersey with more than 100000 inhabitants
QALD2_te-64	all launch pads operated by NASA
QALD2_tr-49	all companies in the advertising industry
QALD2_tr-75	has been the 5th president of the United States of America
QALD2_te-75	daughters of British earls died in the same place they were born in
QALD2_tr-28	European countries have a constitutional monarchy
QALD2_tr-50	did Bruce Carver die from
QALD2_tr-32	countries in the European Union adopted the Euro
QALD2_te-29	all actors starring in movies directed by and starring William Shatner
QALD2_tr-64	software has been developed by organizations founded in California
QALD2_tr-92	is the highest mountain
QALD2_tr-80	all Canadian Grunge record labels
QALD2_tr-41	all soccer clubs in Spain
QALD2_te-11	is the Formula 1 race driver with the most races
QALD2_te-46	professional surfers were born on the Philippines
QALD2_te-43	all breeds of the German Shepherd dog
QALD2_tr-10	In country does the Nile start
QALD2_te-24	was the father of Queen Elizabeth II
QALD2_tr-65	companies work in the aerospace industry as well as on nuclear reactor technology
QALD2_tr-24	mountain is the highest after the Annapurna
QALD2_tr-84	all movies with Tom Cruise
QALD2_tr-29	awards did WikiLeaks win
QALD2_tr-43	is the mayor of New York City
QALD2_te-76	List the children of Margaret Thatcher
QALD2_te-19	all people that were born in Vienna and died in Berlin
QALD2_te-91	US State has the abbreviation MN
QALD2_tr-86	all female German chancellors
QALD2_tr-22	In country is the Limerick Lake
QALD2_te-95	wrote the lyrics for the Polish national anthem
QALD2_te-1	German cities have more than 250000 inhabitants
QALD2_te-81	books by Kerouac were published by Viking Press
QALD2_tr-38	monarchs of the United Kingdom were married to a German
QALD2_tr-25	In films directed by Garry Marshall was Julia Roberts starring
QALD2_tr-58	produced the most films
QALD2_te-48	In UK city are the headquarters of the MI6
QALD2_te-53	is the ruling party in Lisbon
QALD2_te-6	all professional skateboarders from Sweden
QALD2_te-22	is the governor of Texas
QALD2_tr-6	did Abraham Lincoln die
QALD2_te-58	is the time zone of Salt Lake City
QALD2_tr-91	organizations were founded in 1950
QALD2_te-90	is the residence of the prime minister of Spain
QALD2_te-28	all movies directed by Francis Ford Coppola
QALD2_te-67	are the parents of the wife of Juan Carlos I
QALD2_te-99	For label did Elvis record his first album
QALD2_tr-21	states border Illinois
QALD2_te-93	movies did Sam Raimi direct after Army of Darkness
QALD2_te-2	was the successor of John F Kennedy
QALD2_tr-70	all films produced by Hal Roach
QALD2_te-12	all world heritage sites designated within the past five years
QALD2_te-27	Sean Parnell is the governor of US state
QALD2_te-9	a list of all trumpet players that were bandleaders
QALD2_tr-36	Through countries does the Yenisei river flow
QALD2_te-63	all Argentine films
QALD2_tr-16	the capitals of all countries in Africa
QALD2_tr-87	wrote the book The pillars of the Earth
QALD2_te-100	produces Orangina
QALD2_tr-18	museum exhibits The Scream by Munch
QALD2_tr-82	In programming language is GIMP written
QALD2_tr-26	bridges are of the same type as the Manhattan Bridge
QALD2_tr-73	owns Aldi
QALD2_te-82	a list of all American inventions
QALD2_te-84	created the comic Captain America
QALD2_te-35	developed Skype
QALD2_tr-3	is the daughter of Bill Clinton married to
QALD2_te-34	In military conflicts did Lawrence of Arabia participate
QALD2_te-40	List all boardgames by GMT
QALD2_te-77	was called Scarface
QALD2_te-39	all companies in Munich
QALD2_te-98	country does the creator of Miffy come from
QALD2_tr-83	produced films starring Natalie Portman
QALD2_tr-74	capitals in Europe were host cities of the summer olympic games
QALD2_te-97	painted The Storm on the Sea of Galilee
QALD2_te-72	In US state is Area 51 located?
QALD2_te-13	is the youngest player in the Premier League
QALD2_te-33	all Australian nonprofit organizations
QALD2_te-17	all cars that are produced in Germany
QALD2_te-25	US state has been admitted latest
QALD2_tr-57	List all episodes of the first season of the HBO television series The Sopranos
QALD2_tr-55	developed the video game World of Warcraft
QALD2_tr-69	caves have more than 3 entrances
QALD2_tr-77	music albums contain the song Last Christmas
QALD2_tr-52	presidents were born in 1945
QALD2_tr-54	was the wife of US president Lincoln
QALD2_tr-47	is the highest place of Karakoram
QALD2_tr-45	telecommunications organizations are located in Belgium
QALD2_te-3	is the mayor of Berlin
QALD2_tr-63	all actors starring in Batman Begins
QALD2_tr-34	countries have more than two official languages
QALD2_tr-42	are the official languages of the Philippines
QALD2_tr-62	created Wikipedia
QALD2_te-66	ships were called after Benjamin Franklin
QALD2_te-14	all members of Prodigy
